"","seqn","sddsrvyr","ridstatr","riagendr","ridageyr","ridreth1","ridexmon","dmdcitzn","dmdeduc2","dmdmartl","sialang","siaproxy","siaintrp","fialang","fiaproxy","fiaintrp","mialang","miaproxy","miaintrp","dmdhhsiz","dmdfmsiz","dmdhrgnd","dmdhrage","dmdhredu","dmdhrmar","wtint2yr","wtmec2yr","sdmvpsu","sdmvstra","indhhin2","indfmin2","indfmpir","year"
"393",41867,5,2,1,35,3,2,1,2,1,1,2,2,1,2,2,1,2,2,5,5,2,32,4,1,19417.04192,19571.252756,2,59,8,8,1.94,"2007-2008"
"394",41868,5,2,1,78,3,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,1,78,1,1,34961.874476,34680.531542,2,60,5,5,1.61,"2007-2008"
"395",41869,5,2,1,28,3,1,1,5,1,1,2,2,1,2,2,1,2,2,2,2,1,28,5,1,89655.454447,89196.705435,1,59,10,10,5,"2007-2008"
"401",41875,5,2,2,51,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,51,2,1,16048.482643,15859.560652,1,72,6,6,2.34,"2007-2008"
"407",41881,5,2,1,70,3,2,1,3,1,1,2,2,1,2,2,1,2,2,2,2,2,59,5,1,34961.874476,40315.043248,2,60,15,15,5,"2007-2008"
"421",41895,5,2,2,47,1,2,2,5,1,2,2,2,2,2,2,2,2,2,4,4,1,51,4,1,27958.96049,28376.174808,2,65,4,4,0.92,"2007-2008"
"422",41896,5,2,1,53,3,1,1,3,1,1,2,2,1,2,2,1,2,2,5,5,2,39,1,1,20831.608051,20869.697194,2,59,3,3,0.48,"2007-2008"
"423",41897,5,2,1,77,3,1,1,5,1,1,2,2,1,2,2,1,2,2,4,4,2,72,4,1,34558.897076,34962.524876,2,66,7,7,1.65,"2007-2008"
"425",41899,5,2,1,35,1,2,2,1,1,2,2,2,2,2,2,2,2,2,6,6,1,35,1,1,33862.162614,36324.339345,1,71,4,4,0.71,"2007-2008"
"430",41904,5,2,2,70,3,2,1,3,1,1,2,2,1,2,2,1,2,2,2,2,2,70,3,1,40014.379516,42441.243268,2,62,8,8,3.71,"2007-2008"
"434",41908,5,2,2,55,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,54,1,1,16965.190773,16765.477336,1,66,7,7,2.56,"2007-2008"
"440",41914,5,2,1,25,3,2,1,2,1,1,2,2,1,2,2,1,2,2,4,4,1,25,2,1,43484.07016,45081.963346,2,59,3,3,0.52,"2007-2008"
"441",41915,5,2,2,63,3,2,1,5,1,1,2,2,1,2,2,1,2,2,2,2,2,63,5,1,53715.249023,55992.472187,2,62,9,9,3.93,"2007-2008"
"444",41918,5,2,2,53,3,2,1,2,1,1,2,2,1,2,2,1,2,2,4,4,1,53,3,1,26740.034591,26884.012012,1,67,4,4,0.9,"2007-2008"
"445",41919,5,2,2,53,1,1,1,4,1,1,2,2,1,2,2,1,2,2,2,2,1,65,4,1,16965.190773,16765.477336,1,66,9,9,4.09,"2007-2008"
"448",41922,5,2,2,33,3,2,1,5,1,1,2,2,1,2,2,1,2,2,2,2,2,33,5,1,75863.061661,75893.637085,2,63,10,10,5,"2007-2008"
"453",41927,5,2,1,38,3,2,1,4,1,1,2,2,1,2,2,1,2,2,2,2,1,38,4,1,67534.55269,68070.914505,2,62,8,8,3.57,"2007-2008"
"468",41942,5,2,2,44,3,2,1,4,1,1,2,2,1,2,2,1,2,2,7,4,2,44,4,1,74400.220076,75823.550281,2,63,14,14,3.77,"2007-2008"
"478",41952,5,2,2,71,3,1,1,5,1,1,2,2,1,2,2,1,2,2,2,2,2,71,5,1,27789.502896,27834.934193,1,70,15,15,5,"2007-2008"
"487",41961,5,2,1,46,3,1,1,3,1,1,2,2,1,2,2,1,2,2,4,4,1,46,3,1,115338.89565,117384.329161,2,66,15,15,4.72,"2007-2008"
"488",41962,5,2,1,48,3,2,1,3,1,1,2,2,1,2,2,1,2,2,2,2,2,45,5,1,90414.494842,90397.298652,1,63,14,14,5,"2007-2008"
"489",41963,5,2,1,66,1,1,2,2,1,2,1,2,1,2,2,2,1,2,3,3,1,66,2,1,8372.136628,8668.614011,1,66,1,1,0.06,"2007-2008"
"492",41966,5,2,1,62,5,1,2,3,1,1,2,1,1,2,2,1,2,1,3,3,1,62,3,1,38694.448994,38472.013425,2,69,7,7,2.05,"2007-2008"
"497",41971,5,2,1,66,4,2,1,3,1,1,2,2,1,2,2,1,2,2,2,2,2,59,3,1,6564.940098,6551.494076,1,67,3,3,0.88,"2007-2008"
"514",41988,5,2,2,52,3,2,1,2,1,1,2,2,1,2,2,1,2,2,3,3,1,57,2,1,27318.065637,28522.4519,2,64,4,4,0.97,"2007-2008"
"517",41991,5,2,1,66,1,1,2,1,1,2,2,2,2,2,2,2,2,2,4,4,1,66,1,1,7384.252394,8175.632041,2,66,2,2,0.35,"2007-2008"
"519",41993,5,2,2,59,3,2,1,5,1,1,2,2,1,2,2,1,2,2,2,2,2,59,5,1,89748.145182,89463.092114,2,62,15,15,5,"2007-2008"
"526",42000,5,2,1,51,3,1,1,5,1,1,2,2,1,2,2,1,2,2,3,3,1,51,5,1,87400.23098,89129.788017,1,68,15,15,5,"2007-2008"
"527",42001,5,2,1,22,3,2,1,3,5,1,2,2,1,2,2,1,2,2,3,3,1,56,3,1,90560.161465,91835.2413,2,62,10,10,3.69,"2007-2008"
"541",42015,5,2,2,79,3,2,1,4,1,1,2,2,1,2,2,1,2,2,2,2,1,75,3,1,25765.362369,25045.449386,2,60,8,8,3.75,"2007-2008"
"547",42021,5,2,1,44,1,1,1,1,1,1,2,2,1,2,2,1,2,2,5,5,1,44,1,1,16596.326993,17559.001327,1,73,7,7,1.74,"2007-2008"
"550",42024,5,2,1,36,3,2,1,2,1,1,2,2,1,2,2,1,2,2,3,3,1,36,2,1,75231.023367,78517.743724,1,61,8,8,3.15,"2007-2008"
